14/09/2017 5:35:35 PM:- Created: 14/09/2017; Acct: 01; Chart: 1000066; $Amount: 39.72; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154361; Owner Code: NMEMO; Owner: 505; Invoice: -1; Creditor Code: ; WHO: DBS
14/09/2017 5:50:25 PM:- Created: 14/09/2017; Acct: 01; Chart: 1000066; $Amount: 19.86; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154361; Owner Code: NMEMO; Owner: 505; Invoice: -1; Creditor Code: ; WHO: DBS
14/09/2017 5:50:25 PM:- Created: 14/09/2017; Acct: 01; Chart: 3200; $Amount: -19.86; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154361; Owner Code: NMEMO; Owner: 505; Invoice: -1; Creditor Code: ; WHO: DBS
14/09/2017 5:50:25 PM:- Created: 14/09/2017; Acct: 01; Chart: 3300; $Amount: 100.00; $Tax: 10.00; REFNO: 600034; DESCR: Client Bill 154361; Owner Code: NMEMO; Owner: 505; Invoice: -1; Creditor Code: ; WHO: DBS
14/09/2017 5:50:25 PM:- Created: 14/09/2017; Acct: 01; Chart: 3200; $Amount: -100.00; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154361; Owner Code: NMEMO; Owner: 505; Invoice: -1; Creditor Code: ; WHO: DBS
14/09/2017 5:50:25 PM:- Created: 14/09/2017; Acct: 01; Chart: 3200; $Amount: -10.00; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154361; Owner Code: NMEMO; Owner: 505; Invoice: -1; Creditor Code: ; WHO: DBS
14/09/2017 5:50:25 PM:- Created: 14/09/2017; Acct: 01; Chart: 4990; $Amount: 10.00; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154361; Owner Code: NMEMO; Owner: 505; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 11:31:24 AM:- Created: 25/09/2017; Acct: 01; Chart: 1000029; $Amount: 240.00; $Tax: 0.00; REFNO: 600030; DESCR: Client Bill 154363; Owner Code: NMEMO; Owner: 178; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 11:31:24 AM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -240.00; $Tax: 0.00; REFNO: 600030; DESCR: Client Bill 154363; Owner Code: NMEMO; Owner: 178; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 11:31:24 AM:- Created: 25/09/2017; Acct: 01; Chart: 1000061; $Amount: 24.00; $Tax: 2.40; REFNO: 600030; DESCR: Client Bill 154363; Owner Code: NMEMO; Owner: 178; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 11:31:24 AM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -24.00; $Tax: 0.00; REFNO: 600030; DESCR: Client Bill 154363; Owner Code: NMEMO; Owner: 178; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 11:31:24 AM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -2.40; $Tax: 0.00; REFNO: 600030; DESCR: Client Bill 154363; Owner Code: NMEMO; Owner: 178; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 11:31:24 AM:- Created: 25/09/2017; Acct: 01; Chart: 4990; $Amount: 2.40; $Tax: 0.00; REFNO: 600030; DESCR: Client Bill 154363; Owner Code: NMEMO; Owner: 178; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 1000034; $Amount: 1020.00; $Tax: 102.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -102.00; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -1020.00; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -46.36; $Tax: -4.64; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: 4.64; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 1001082; $Amount: 46.36; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 1000066; $Amount: 102.00; $Tax: 10.20; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -102.00; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 3200; $Amount: -10.20; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 4990; $Amount: 112.20; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
25/09/2017 1:17:34 PM:- Created: 25/09/2017; Acct: 01; Chart: 4990; $Amount: -4.64; $Tax: 0.00; REFNO: 600034; DESCR: Client Bill 154364; Owner Code: NMEMO; Owner: 536; Invoice: -1; Creditor Code: ; WHO: DBS
27/09/2017 3:53:30 PM:- Created: 27/09/2017; Acct: 01; Chart: 3200; $Amount: -17.31; $Tax: 0.00; REFNO: 600050; DESCR: Client Bill 154330; Owner Code: NMEMO; Owner: 357; Invoice: -1; Creditor Code: ; WHO: DBS
